       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.24         0.00
            1         1000         0.24         4.18
            2         1000         0.24         8.34
            4         1000         0.24        16.69
            8         1000         0.24        33.38
           16         1000         0.24        66.52
           32         1000         0.25       129.06
           64         1000         0.25       257.00
          128         1000         0.26       486.79
          256         1000         0.28       899.40
          512         1000         0.43      1190.98
         1024         1000         0.46      2226.06
         2048         1000         0.59      3477.86
         4096         1000         0.84      4864.06
         8192         1000         1.41      5797.51
        16384         1000         2.35      6970.64
        32768         1000         3.44      9513.21
        65536          640         5.72     11452.14
       131072          320         8.63     15193.41
       262144          160        14.91     17578.64
       524288           80        40.93     12810.29
      1048576           40        80.80     12977.64
      2097152           20       153.99     13618.78
      4194304           10       380.98     11009.25
