       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.28         0.00
            1         1000         0.29         3.44
            2         1000         0.29         6.82
            4         1000         0.29        13.70
            8         1000         0.29        27.61
           16         1000         0.29        54.65
           32         1000         0.30       106.85
           64         1000         0.30       214.15
          128         1000         0.30       426.74
          256         1000         0.32       806.42
          512         1000         0.54       947.22
         1024         1000         0.60      1702.14
         2048         1000         0.74      2757.29
         4096         1000         0.95      4332.33
         8192         1000         1.50      5459.80
        16384         1000         2.39      6855.92
        32768         1000         3.53      9269.94
        65536          640         5.86     11190.39
       131072          320         8.81     14873.52
       262144          160        17.05     15372.75
       524288           80        39.40     13307.52
      1048576           40        83.90     12498.03
      2097152           20       164.50     12748.44
      4194304           10       398.77     10518.17
