       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.98         0.00
            1         1000         0.98         1.02
            2         1000         0.99         2.01
            4         1000         0.99         4.03
            8         1000         0.99         8.10
           16         1000         0.99        16.12
           32         1000         1.01        31.60
           64         1000         1.14        56.20
          128         1000         1.18       108.85
          256         1000         1.41       181.86
          512         1000         1.48       344.85
         1024         1000         1.64       623.84
         2048         1000         2.30       889.50
         4096         1000         3.18      1289.85
         8192         1000         4.45      1840.05
        16384         1000         6.24      2625.60
        32768         1000         8.40      3901.42
        65536          640        12.30      5327.05
       131072          320        18.60      7047.92
       262144          160        32.60      8040.60
       524288           80        54.27      9661.05
      1048576           40        96.93     10818.01
      2097152           20       186.02     11273.90
      4194304           10       352.10     11912.42
      8388608            5       693.21     12101.17
     16777216            2      1383.00     12131.05
     33554432            1      2773.95     12096.25
     67108864            1      5511.77     12175.55
    134217728            1     11017.17     12182.59
    268435456            1     22072.19     12161.71
