       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         1.35         0.00
            1         1000         1.36         0.74
            2         1000         1.37         1.46
            4         1000         1.36         2.93
            8         1000         1.36         5.90
           16         1000         1.36        11.78
           32         1000         1.39        23.09
           64         1000         1.57        40.75
          128         1000         1.62        78.94
          256         1000         1.86       137.36
          512         1000         1.95       262.27
         1024         1000         2.13       481.22
         2048         1000         2.83       722.84
         4096         1000         3.59      1141.70
         8192         1000         4.58      1787.41
        16384         1000         6.31      2597.56
        32768         1000        10.25      3197.29
        65536          640        13.50      4853.73
       131072          320        22.60      5799.94
       262144          160        33.26      7880.92
       524288           80        57.99      9041.74
      1048576           40        98.57     10637.78
      2097152           20       185.49     11306.29
      4194304           10       354.24     11840.32
