       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.48         0.00
            1         1000         0.48         2.08
            2         1000         0.48         4.17
            4         1000         0.48         8.40
            8         1000         0.48        16.68
           16         1000         0.48        33.54
           32         1000         0.51        62.63
           64         1000         0.50       128.89
          128         1000         0.59       216.01
          256         1000         0.63       406.32
          512         1000         0.97       528.49
         1024         1000         0.99      1039.41
         2048         1000         1.14      1798.07
         4096         1000         1.63      2507.06
         8192         1000         2.04      4008.86
        16384         1000         3.55      4616.86
        32768         1000         5.38      6090.01
        65536          640         9.12      7183.05
       131072          320        15.19      8626.85
       262144          160        28.58      9173.63
       524288           80        67.06      7818.66
      1048576           40       132.16      7934.42
      2097152           20       257.88      8132.17
      4194304           10       508.68      8245.40
