       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.41         0.00
            1         1000         0.41         2.47
            2         1000         0.41         4.90
            4         1000         0.41         9.72
            8         1000         0.42        19.11
           16         1000         0.41        39.28
           32         1000         0.57        56.16
           64         1000         0.57       113.14
          128         1000         0.97       131.79
          256         1000         0.99       259.49
          512         1000         1.16       440.43
         1024         1000         1.26       811.39
         2048         1000         2.13       961.97
         4096         1000         3.00      1367.05
         8192         1000         4.82      1699.44
        16384         1000         7.49      2188.55
        32768         1000        13.10      2500.70
        65536          640        24.33      2693.10
       131072          320        46.54      2816.26
       262144          160        13.19     19874.72
       524288           80        23.04     22755.39
      1048576           40        52.56     19948.93
      2097152           20       140.16     14962.66
      4194304           10       296.27     14157.25
