       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         4.83         0.00
            1         1000         4.89         0.20
            2         1000         4.86         0.41
            4         1000         4.87         0.82
            8         1000         4.86         1.65
           16         1000         4.88         3.28
           32         1000         4.90         6.53
           64         1000         4.89        13.08
          128         1000         4.96        25.79
          256         1000         5.04        50.78
          512         1000         5.09       100.55
         1024         1000         5.69       179.86
         2048         1000         5.50       372.44
         4096         1000         6.40       640.32
         8192         1000         6.83      1199.24
        16384         1000         8.81      1860.56
        32768         1000        14.55      2251.91
        65536          640        27.63      2371.86
       131072          320        35.16      3727.99
       262144          160        47.36      5534.76
       524288           80        80.36      6524.52
      1048576           40       138.00      7598.39
      2097152           20       267.69      7834.39
      4194304           10       583.36      7189.92
