       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         4.93         0.00
            1         1000         5.02         0.20
            2         1000         5.02         0.40
            4         1000         5.01         0.80
            8         1000         5.01         1.60
           16         1000         5.00         3.20
           32         1000         5.01         6.39
           64         1000         5.02        12.75
          128         1000         5.07        25.23
          256         1000         5.14        49.84
          512         1000         5.17        99.09
         1024         1000         5.82       175.99
         2048         1000         5.56       368.13
         4096         1000         6.41       638.62
         8192         1000         6.91      1185.66
        16384         1000         9.00      1819.80
        32768         1000        14.47      2264.03
        65536          640        29.43      2226.73
       131072          320        36.80      3561.68
       262144          160        51.33      5107.48
       524288           80        85.47      6134.05
      1048576           40       146.88      7139.08
      2097152           20       305.61      6862.25
      4194304           10       656.42      6389.67
      8388608            5      1561.85      5370.93
     16777216            2      3276.43      5120.57
     33554432            1      6620.81      5068.02
     67108864            1     13186.74      5089.12
    134217728            1     26282.92      5106.65
    268435456            1     52141.17      5148.24
