       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         4.98         0.00
            1         1000         5.10         0.20
            2         1000         5.07         0.39
            4         1000         5.10         0.78
            8         1000         5.11         1.57
           16         1000         5.11         3.13
           32         1000         5.13         6.24
           64         1000         5.15        12.43
          128         1000         5.23        24.47
          256         1000         5.26        48.69
          512         1000         5.21        98.30
         1024         1000         5.91       173.18
         2048         1000         5.51       371.96
         4096         1000         6.51       629.42
         8192         1000         6.98      1173.97
        16384         1000         9.13      1794.98
        32768         1000        14.93      2194.42
        65536          640        28.40      2307.76
       131072          320        35.99      3642.36
       262144          160        49.60      5284.82
       524288           80        83.07      6311.55
      1048576           40       141.66      7402.23
      2097152           20       276.20      7592.97
      4194304           10       645.59      6496.81
      8388608            5      1495.61      5608.84
     16777216            2      3257.74      5149.96
     33554432            1      6533.31      5135.90
     67108864            1     12906.27      5199.71
    134217728            1     25828.20      5196.56
    268435456            1     51208.81      5241.98
